sequence;id;time;positionCmd;velocityCmd;effortCmd;position;velocity;effort;accelX;accelY;accelZ;gyroX;gyroY;gyroZ;motorCurrent;windingCurrent;ambientTemperature;windingTemperature;voltage;pcRxTime;pcTxTime;hwRxTime;hwTxTime;sequence;rxSequence;pwmCmd;innerEffortCmd;deflection;motorPosition;motorVelocity;deflectionVelocity;orientationW;orientationX;orientationY;orientationZ;motorTemperature;processorTemperature;actuatorTemperature;pressure;resetButtonState;mStopState;commandLockState;temperatureState;positionLimitState;velocityLimitState;effortLimitState;ledR;ledG;ledB;ledA;
0;0;1651582054356026;0.0;;;0.0011701665353029966;-0.024985618889331818;-0.1763065755367279;-0.17274969816207886;-9.824505805969238;0.22624720633029938;-0.0012654208112508059;0.001020240131765604;-9.578625904396176E-4;-0.002231597900390625;0.0;35.673377990722656;26.36231803894043;24.092485427856445;1651582054356026;1651582054354980;2636455239;2636455439;0;0;2.380952355451882E-4;-0.03510499745607376;0.0013562043895944953;;0.0;-0.006820125505328178;;;;;26.26943016052246;;26.345111846923828;;;;;;;;;0.0;0.0;0.0;;
1;0;1651582054358594;0.0;;;0.001227660570293665;0.009137259796261787;-0.18696311116218567;-0.1698400378227234;-9.826668739318848;0.2289440780878067;-2.0187626068945974E-4;9.822153951972723E-4;-9.548378293402493E-4;-0.002231597900390625;-0.00559954484924674;35.66738510131836;26.362276077270508;24.092485427856445;1651582054358594;1651582054357071;2636457857;2636458081;1;1;9.523809421807528E-4;-0.03682981804013252;0.0014381777727976441;;0.0;0.027077456936240196;;;;;26.26943016052246;;26.345090866088867;;;;;;;;;0.0;0.0;0.0;;
2;0;1651582054364258;0.0;;;0.0012177685275673866;-0.0021852292120456696;-0.17905807495117188;-0.16432690620422363;-9.824128150939941;0.21772797405719757;-2.0187626068945974E-4;9.822153951972723E-4;-9.548378293402493E-4;-0.002231597900390625;-0.0;35.670379638671875;26.362276077270508;24.092485427856445;1651582054364258;1651582054360429;2636460471;2636460899;2;2;-0.0057142856530845165;-0.03664980083703995;0.0013773698592558503;;0.0;-0.009881554171442986;;;;;26.26943016052246;;26.345090866088867;;;;;;;;;0.0;0.0;0.0;;
3;0;1651582054364414;0.0;;;0.00127126881852746;0.015344595536589622;-0.18664702773094177;-0.1646735966205597;-9.81738567352295;0.21381403505802155;-2.0187626068945974E-4;9.822153951972723E-4;-9.548378293402493E-4;0.001430511474609375;-0.013438905589282513;35.66738510131836;26.362253189086914;24.092485427856445;1651582054364414;1651582054362071;2636462096;2636462374;3;3;-0.002142857061699033;-0.03813806548714638;0.0014357463223859668;;0.0;0.017410436645150185;;;;;26.26943016052246;;26.345069885253906;;;;;;;;;0.0;0.0;0.0;;
4;0;1651582054365415;0.0;;;0.001228252425789833;-0.0051622590981423855;-0.16739705204963684;-0.16854169964790344;-9.808499336242676;0.21143366396427155;-2.419066586298868E-4;-7.385536446236074E-5;-8.105689194053411E-4;-0.002231597900390625;-0.018478499725461006;35.664390563964844;26.362253189086914;24.092485427856445;1651582054365415;1651582054364473;2636464489;2636464892;4;4;-0.004761904943734407;-0.038897741585969925;0.0012876696418970823;;0.0;-0.031063508242368698;;;;;26.26943016052246;;26.345069885253906;;;;;;;;;0.0;0.0;0.0;;
5;0;1651582054366528;0.0;;;0.0012220717035233974;-0.010884210467338562;-0.18015310168266296;-0.16804280877113342;-9.81183910369873;0.20463056862354279;-2.398982469458133E-4;6.623984518228099E-5;2.444020356051624E-4;0.001430511474609375;-0.011199090629816055;35.673377990722656;26.362253189086914;24.092485427856445;1651582054366528;1651582054365575;2636465832;2636466032;5;5;-0.0019047618843615055;-0.03666215017437935;0.0013857930898666382;;0.0;0.014104809612035751;;;;;26.26943016052246;;26.345069885253906;;;;;;;;;0.0;0.0;0.0;;
6;0;1651582054368559;0.0;;;0.0012579489266499877;-0.0020168740302324295;-0.16892603039741516;-0.17368000745773315;-9.818525314331055;0.2073405534029007;-2.398982469458133E-4;6.623984518228099E-5;2.444020356051624E-4;-0.002231597900390625;-0.010079183615744114;35.6883544921875;26.362205505371094;24.092485427856445;1651582054368559;1651582054367662;2636467845;2636468073;6;6;-0.009285714477300644;-0.03773846849799156;0.0012994309654459357;;0.0;-0.03249001502990723;;;;;26.26943016052246;;26.345048904418945;;;;;;;;;0.0;0.0;0.0;;
7;0;1651582054371213;0.0;;;0.0012140099424868822;-0.016981985419988632;-0.1672389805316925;-0.1712331771850586;-9.816636085510254;0.21312327682971954;-2.0180644060019404E-4;0.0011205144692212343;1.0432871931698173E-4;0.001430511474609375;-0.021278277039527893;35.68535614013672;26.362205505371094;24.092485427856445;1651582054371213;1651582054369737;2636470275;2636470501;7;7;-0.007380952592939138;-0.036420296877622604;0.0012864536838606;;0.0;-0.022865336388349533;;;;;26.26943016052246;;26.345048904418945;;;;;;;;;0.0;0.0;0.0;;
8;0;1651582054372782;0.0;;;0.0012058323482051492;-0.01151013933122158;-0.1633349508047104;-0.16282051801681519;-9.816064834594727;0.2106161266565323;-1.9979804346803576E-4;0.0012606086675077677;0.0011592921800911427;-0.002231597900390625;-0.006159501615911722;35.69134521484375;26.36216163635254;24.092485427856445;1651582054372782;1651582054371828;2636471994;2636472271;8;8;-0.008095238357782364;-0.036174971610307693;0.0012564227217808366;;0.0;-0.02584976889193058;;;;;26.26943016052246;;26.345027923583984;;;;;;;;;1.0;0.5019607843137255;0.0;;
9;0;1651582054374598;0.0;;;0.0011594515526667237;-0.01838800683617592;-0.17409299314022064;-0.16126057505607605;-9.823477745056152;0.20072896778583527;-2.0171723735984415E-4;0.001258830539882183;0.0011634478578343987;0.001430511474609375;-0.013438912108540535;35.69134521484375;26.36216163635254;24.092485427856445;1651582054374598;1651582054373893;2636473901;2636474101;9;9;-4.761904710903764E-4;-0.03478354588150978;0.0013391769025474787;;0.0;0.01688964292407036;;;;;26.26943016052246;;26.345027923583984;;;;;;;;;1.0;0.5019607843137255;0.0;;
