sequence;id;time;positionCmd;velocityCmd;effortCmd;position;velocity;effort;accelX;accelY;accelZ;gyroX;gyroY;gyroZ;motorCurrent;windingCurrent;ambientTemperature;windingTemperature;voltage;pcRxTime;pcTxTime;hwRxTime;hwTxTime;sequence;rxSequence;pwmCmd;innerEffortCmd;deflection;motorPosition;motorVelocity;deflectionVelocity;orientationW;orientationX;orientationY;orientationZ;motorTemperature;processorTemperature;actuatorTemperature;pressure;resetButtonState;mStopState;commandLockState;temperatureState;positionLimitState;velocityLimitState;effortLimitState;ledR;ledG;ledB;ledA;
0;0;1651584333582044;-1.5700000524520874;;;-1.5657755136489868;0.040739551186561584;-0.05800604820251465;-0.18035227060317993;-9.820230484008789;0.2154291421175003;6.298398948274553E-4;6.258554640226066E-4;6.285004783421755E-4;-0.002231597900390625;-0.0011110530467703938;34.133853912353516;28.240337371826172;24.077072143554688;1651584333582044;1651584333581042;65793900;65794099;0;0;0.006190476007759571;-0.04224538803100586;4.462003707885742E-4;;0.0;0.047773901373147964;;;;;26.336833953857422;;28.033510208129883;;;;;;;;;0.0;0.07058823529411765;0.0;;
1;0;1651584333584067;-1.5700000524520874;;;-1.5659135580062866;-0.02766440249979496;-0.03795266151428223;-0.18488171696662903;-9.813926696777344;0.2025245577096939;6.298398948274553E-4;6.258554640226066E-4;6.285004783421755E-4;0.001430511474609375;0.010548247024416924;34.133853912353516;28.240337371826172;24.061656951904297;1651584333584067;1651584333583342;65795944;65796144;1;1;-2.380952355451882E-4;-0.04086494445800781;2.919435501098633E-4;;0.0;-0.028282543644309044;;;;;26.336833953857422;;28.033510208129883;;;;;;;;;0.0;0.07450980392156863;0.0;;
2;0;1651584333586673;-1.5700000524520874;;;-1.5658209323883057;0.014596902765333652;-0.055185556411743164;-0.1912427544593811;-9.807446479797363;0.20409150421619415;6.298398948274553E-4;6.258554640226066E-4;6.285004783421755E-4;-0.002231597900390625;-0.004999751225113869;34.12487030029297;28.239728927612305;24.077072143554688;1651584333586673;1651584333585576;65798298;65798498;2;2;0.004285714123398066;-0.04179120063781738;4.2450428009033203E-4;;0.0;0.03228889778256416;;;;;26.336833953857422;;28.03301239013672;;;;;;;;;0.0;0.07450980392156863;0.0;;
3;0;1651584333588573;-1.5700000524520874;;;-1.5658323764801025;0.005949685350060463;-0.03438830375671387;-0.1864776909351349;-9.808131217956543;0.2047770768404007;6.27831497695297E-4;4.8576074186712503E-4;-4.2646678048186004E-4;0.001430511474609375;0.00555172236636281;34.12487030029297;28.239728927612305;24.061656951904297;1651584333588573;1651584333587652;65800199;65800399;3;3;-0.0033333334140479565;-0.04167675971984863;2.645254135131836E-4;;0.0;-0.03435111790895462;;;;;26.26943016052246;;28.03301239013672;;;;;;;;;0.0;0.0784313725490196;0.0;;
4;0;1651584333590652;-1.5700000524520874;;;-1.5659373998641968;-0.03603344410657883;-0.023555755615234375;-0.1840590238571167;-9.806405067443848;0.2184307724237442;0.0016893672291189432;3.0764180701225996E-4;-0.0014784056693315506;0.001430511474609375;-0.016665836796164513;34.12187194824219;28.239164352416992;24.077072143554688;1651584333590652;1651584333589726;65802291;65802502;4;4;-0.013095238246023655;-0.04062652587890625;1.811981201171875E-4;;0.0;-0.04846349358558655;;;;;26.336833953857422;;28.032514572143555;;;;;;;;;0.0;0.0784313725490196;0.0;;
5;0;1651584333592698;-1.5700000524520874;;;-1.5658689737319946;0.004551892168819904;-0.06612658500671387;-0.17667359113693237;-9.800300598144531;0.22545577585697174;0.002746590878814459;4.070383729413152E-4;-4.1643879376351833E-4;0.001430511474609375;-0.022762112319469452;34.13984680175781;28.239164352416992;24.061656951904297;1651584333592698;1651584333591801;65804373;65804573;5;5;0.006190476007759571;-0.041310787200927734;5.086660385131836E-4;;0.0;0.09571146219968796;;;;;26.336833953857422;;28.032514572143555;;;;;;;;;0.0;0.08235294117647059;0.0;;
6;0;1651584333594851;-1.5700000524520874;;;-1.5658535957336426;0.00916125439107418;-0.07348775863647461;-0.18220365047454834;-9.804021835327148;0.22777189314365387;0.002746590878814459;4.070383729413152E-4;-4.1643879376351833E-4;0.001430511474609375;0.036664921790361404;34.13984680175781;28.239164352416992;24.077072143554688;1651584333594851;1651584333593895;65806536;65806952;6;6;0.018571428954601288;-0.04115581512451172;5.652904510498047E-4;;0.0;0.06951805204153061;;;;;26.26943016052246;;28.032514572143555;;;;;;;;;0.0;0.08235294117647059;0.0;;
7;0;1651584333596904;-1.5700000524520874;;;-1.5659300088882446;-0.023246383294463158;-0.03727078437805176;-0.19231721758842468;-9.801606178283691;0.2341122180223465;0.002710507484152913;-5.071419291198254E-4;7.786017959006131E-4;0.001430511474609375;0.043303556740283966;34.13684844970703;28.238990783691406;24.061656951904297;1651584333596904;1651584333595966;65808544;65808981;7;7;-0.005476190708577633;-0.040624141693115234;2.866983413696289E-4;;0.0;-0.07412628829479218;;;;;26.336833953857422;;28.03201675415039;;;;;;;;;0.0;0.08627450980392157;0.0;;
8;0;1651584333598960;-1.5700000524520874;;;-1.5659390687942505;-0.008056214079260826;-0.027925968170166016;-0.19470533728599548;-9.800301551818848;0.24783112108707428;0.002710507484152913;-5.071419291198254E-4;7.786017959006131E-4;0.001430511474609375;-0.008327607065439224;34.133853912353516;28.238990783691406;24.061656951904297;1651584333598960;1651584333598050;65810834;65811033;8;8;-0.009285714477300644;-0.04060983657836914;2.148151397705078E-4;;0.0;-0.04389309138059616;;;;;26.336833953857422;;28.03201675415039;;;;;;;;;0.0;0.08627450980392157;0.0;;
9;0;1651584333600174;-1.5700000524520874;;;-1.5659390687942505;-0.008056214079260826;-0.027925968170166016;-0.19470533728599548;-9.800301551818848;0.24783112108707428;0.002710507484152913;-5.071419291198254E-4;7.786017959006131E-4;0.001430511474609375;-0.008327607065439224;34.130859375;28.238454818725586;24.061656951904297;1651584333600174;1651584333599181;65811779;65812199;9;9;-0.009523809887468815;-0.04064679145812988;2.148151397705078E-4;;0.0;-0.04389309138059616;;;;;26.336833953857422;;28.031518936157227;;;;;;;;;0.0;0.09019607843137255;0.0;;
10;0;1651584333602040;-1.5700000524520874;;;-1.5659809112548828;-0.01886405050754547;-0.03589153289794922;-0.18266981840133667;-9.798398971557617;0.25178223848342896;0.0026611739303916693;-0.0017020110972225666;-1.326380588579923E-4;0.001430511474609375;-0.021665694192051888;34.130859375;28.238454818725586;24.077072143554688;1651584333602040;1651584333601327;65813900;65814100;10;10;-0.007857142947614193;-0.0401914119720459;2.760887145996094E-4;;0.0;0.008862452581524849;;;;;26.336833953857422;;28.031518936157227;;;;;;;;;0.0;0.09019607843137255;0.0;;
11;0;1651584333604140;-1.5700000524520874;;;-1.5658411979675293;0.03652362525463104;-0.049746036529541016;-0.17403098940849304;-9.806671142578125;0.2691671848297119;0.0016357213025912642;-6.097116856835783E-4;-2.757360925897956E-4;0.001430511474609375;-0.004996574018150568;34.13984680175781;28.238454818725586;24.061656951904297;1651584333604140;1651584333603410;65815975;65816175;11;11;0.0016666667070239782;-0.041588544845581055;3.826618194580078E-4;;0.0;0.039310406893491745;;;;;26.26943016052246;;28.031518936157227;;;;;;;;;0.0;0.09411764705882353;0.0;;
