sequence;id;time;positionCmd;velocityCmd;effortCmd;position;velocity;effort;accelX;accelY;accelZ;gyroX;gyroY;gyroZ;motorCurrent;windingCurrent;ambientTemperature;windingTemperature;voltage;pcRxTime;pcTxTime;hwRxTime;hwTxTime;sequence;rxSequence;pwmCmd;innerEffortCmd;deflection;motorPosition;motorVelocity;deflectionVelocity;orientationW;orientationX;orientationY;orientationZ;motorTemperature;processorTemperature;actuatorTemperature;pressure;resetButtonState;mStopState;commandLockState;temperatureState;positionLimitState;velocityLimitState;effortLimitState;ledR;ledG;ledB;ledA;
0;0;1654266337268136;-1.988590955734253;;;0.6367045640945435;-0.016857264563441277;-0.1398313045501709;-0.70090252161026;0.13048399984836578;10.499173164367676;0.00325891375541687;-0.007941925898194313;-0.002712573856115341;1.9737768173217773;-2.227515459060669;39.88159942626953;31.28900718688965;23.245187759399414;1654266337267757;1654266337267115;5634006309;5634006367;24;0;-1.0;-10.0;0.0019975900650024414;472.2860956188065;0.0;0.17726153135299683;0.9966039061546326;0.07195182144641876;0.032292407006025314;0.023684395477175713;30.646190643310547;;30.705787658691406;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9019607843137255;0.0;;
0;1;1654266337268136;-1.3985320329666138;;;-1.8005354404449463;-0.0034600887447595596;0.17986059188842773;-0.2187768816947937;-9.884867668151855;0.2778247594833374;-6.503774784505367E-4;4.432681598700583E-4;-7.481189677491784E-4;1.9460105895996094;2.244943857192993;41.040733337402344;31.864521026611328;23.491329193115234;1654266337267912;1654266337267115;5634010858;5634011058;24;0;1.0;10.0;-0.0013835430145263672;;0.0;-0.13101932406425476;;;;;31.65447235107422;;31.8363094329834;;;;;;;;;0.0;0.7372549019607844;0.0;;
0;2;1654266337268136;-1.617372989654541;;;-1.1631572246551514;-0.010797353461384773;0.010389089584350586;-2.145204782485962;-9.715071678161621;-0.02454056777060032;-8.676648139953613E-4;-0.001883815973997116;0.0017375815659761429;1.878662109375;-2.255438804626465;39.64198684692383;31.46455955505371;23.552072525024414;1654266337268136;1654266337267115;5634012058;5634012150;24;0;-1.0;-9.084996223449707;-1.4841556549072266E-4;-879.645943005142;0.0;0.28888681530952454;-0.02716658264398575;-0.12242304533720016;-0.6916632056236267;0.7112500667572021;30.91513442993164;;30.878803253173828;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9254901960784314;0.0;;
1;0;1654266337278232;-1.988590955734253;;;0.6280785202980042;-1.7712175846099854;-0.8084923028945923;-0.8690952062606812;0.11133038252592087;10.758345603942871;-0.0031264275312423706;-0.04093290865421295;-0.0037767989560961723;1.1424779891967773;-1.176730751991272;39.88159942626953;32.073211669921875;23.614891052246094;1654266337277875;1654266337277169;5634016343;5634016427;25;1;-1.0;-10.0;0.011549890041351318;456.5781324382803;-1922.7998046875;0.6168813705444336;0.9966078400611877;0.0719633474946022;0.03216789662837982;0.02364977076649666;30.713455200195312;;30.705917358398438;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9607843137254902;0.0;;
1;1;1654266337278232;-1.3985320329666138;;;-1.7983589172363281;0.30367204546928406;0.961601734161377;-3.6020212173461914;-10.164772033691406;-4.135879039764404;0.03354780003428459;0.5928431153297424;-0.08484794199466705;1.1073875427246094;1.1738393306732178;41.04672622680664;32.862030029296875;23.753372192382812;1654266337277946;1654266337277169;5634020857;5634021057;25;1;1.0;10.0;-0.0073969364166259766;;1946.50341796875;-0.7950068712234497;;;;;31.65447235107422;;31.836246490478516;;;;;;;;;0.0;0.8;0.0;;
1;2;1654266337278232;-1.617372989654541;;;-1.1735886335372925;-2.117340326309204;-0.4982757568359375;-5.03021764755249;-10.116100311279297;-6.977900981903076;0.14173853397369385;0.6898626089096069;-0.050409454852342606;1.09130859375;-1.2037330865859985;39.689910888671875;32.26303482055664;23.81479263305664;1654266337278232;1654266337277169;5634022115;5634022215;25;1;-1.0;-8.876809120178223;0.00711822509765625;-895.3539061856683;-1907.51123046875;0.3467061519622803;-0.026291200891137123;-0.12317287176847458;-0.6915234923362732;0.7112894058227539;30.982389450073242;;30.87896728515625;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.984313725490196;0.0;;
2;0;1654266337288086;-1.988590955734253;;;0.5891011953353882;-4.746222496032715;-0.30946552753448486;-0.7296329736709595;0.27054479718208313;9.855133056640625;-0.012704461812973022;-0.06966698914766312;-0.0037767989560961723;0.17934322357177734;-0.2195713073015213;40.07329177856445;32.291988372802734;24.077022552490234;1654266337287809;1654266337287126;5634026339;5634026424;26;2;-0.6934619545936584;-10.0;0.004420936107635498;431.445391209562;-2675.6220703125;-1.1342267990112305;0.9966381788253784;0.07167604565620422;0.031903911381959915;0.023603666573762894;30.713455200195312;;30.706117630004883;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9764705882352941;0.0;;
2;1;1654266337288086;-1.3985320329666138;;;-1.7909373044967651;1.1054942607879639;1.7300152778625488;-4.1850385665893555;-9.173851013183594;-4.225902080535889;0.09526055306196213;2.876264810562134;-0.19279848039150238;0.3200340270996094;0.30269134044647217;41.0317497253418;33.167755126953125;24.061656951904297;1654266337287911;1654266337287126;5634030860;5634031060;26;2;0.7277598977088928;10.0;-0.013307809829711914;;2600.4111328125;-0.3407435417175293;;;;;31.721694946289062;;31.836301803588867;;;;;;;;;0.0;0.8588235294117647;0.0;;
2;2;1654266337288086;-1.617372989654541;;;-1.2116433382034302;-4.087373733520508;-0.1048421859741211;-18.0103816986084;-9.050082206726074;-10.446500778198242;0.5823277831077576;3.0045526027679443;-0.44098010659217834;0.18310546875;-0.21073944866657257;39.546142578125;32.486183166503906;24.18568992614746;1654266337288086;1654266337287126;5634031847;5634032205;26;2;-0.6881029009819031;-8.116100311279297;0.0014977455139160156;-919.4394498340491;-2683.394287109375;-0.39339208602905273;-0.018629761412739754;-0.12932336330413818;-0.6905557513237;0.711379885673523;30.982389450073242;;30.879226684570312;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9529411764705882;0.0;;
3;0;1654266337298103;-1.988590955734253;;;0.5429677367210388;-4.192418575286865;0.4313558340072632;-0.5991489887237549;0.375291109085083;10.475829124450684;0.0011304616928100586;0.022920604795217514;-0.0037767989560961723;-0.06601810455322266;0.1397981345653534;40.07329177856445;32.328102111816406;24.15404510498047;1654266337298009;1654266337297216;5634036407;5634036465;27;3;-0.5627009868621826;-10.0;-0.00616222620010376;406.3126499808436;-2537.828369140625;-0.915219783782959;0.9967090487480164;0.07069028913974762;0.03194008395075798;0.023530706763267517;30.713455200195312;;30.706327438354492;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9176470588235294;0.0;;
3;1;1654266337298103;-1.3985320329666138;;;-1.773498296737671;1.9192869663238525;1.409006118774414;1.1085846424102783;-9.833837509155273;2.1415352821350098;0.01361274067312479;4.1107177734375;-0.14937061071395874;0.18819808959960938;0.32889777421951294;41.02875518798828;33.209381103515625;24.107900619506836;1654266337297967;1654266337297216;5634040867;5634041100;27;3;0.7374061942100525;10.0;-0.010838508605957031;;2392.123046875;0.4091188907623291;;;;;31.65447235107422;;31.83638572692871;;;;;;;;;0.0;0.9176470588235294;0.0;;
3;2;1654266337298103;-1.617372989654541;;;-1.2457695007324219;-3.068002700805664;-0.08958816528320312;-19.613300323486328;-9.624691009521484;-2.3104045391082764;0.9377789497375488;4.016631126403809;-1.3285439014434814;-0.0146484375;0.02222449705004692;39.546142578125;32.51884460449219;24.216598510742188;1654266337298103;1654266337297216;5634042122;5634042234;27;3;-0.6012861728668213;-7.433928966522217;0.0012798309326171875;-945.6193886431049;-2462.544189453125;0.18016767501831055;-0.0018637016182765365;-0.13954412937164307;-0.6884931325912476;0.7116889357566833;30.91513442993164;;30.879470825195312;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8901960784313725;0.0;;
4;0;1654266337308148;-1.988590955734253;;;0.5138369798660278;-2.2691659927368164;0.24160683155059814;-0.46507367491722107;0.17298106849193573;11.12346076965332;0.02135072648525238;0.09635215997695923;-5.841236561536789E-4;0.010886192321777344;-0.011533682234585285;39.977447509765625;32.357078552246094;24.107831954956055;1654266337308022;1654266337307188;5634046358;5634046443;28;4;-0.6045016050338745;-10.0;-0.003451526165008545;381.17990875212524;-2452.5810546875;0.7573668956756592;0.9966933131217957;0.07074812054634094;0.032296597957611084;0.023539621382951736;30.646190643310547;;30.706533432006836;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8549019607843137;0.0;;
4;1;1654266337308148;-1.3985320329666138;;;-1.751761555671692;2.1780807971954346;0.5080759525299072;2.5199637413024902;-10.36574935913086;3.778780698776245;-0.09178877621889114;3.289867401123047;0.00707089900970459;0.21383285522460938;0.28434455394744873;41.02276611328125;33.274078369140625;24.077072143554688;1654266337307986;1654266337307188;5634050848;5634051084;28;4;0.7224008440971375;10.0;-0.003908276557922363;;2494.612060546875;0.7097001075744629;;;;;31.65447235107422;;31.836456298828125;;;;;;;;;0.0;0.9764705882352941;0.0;;
4;2;1654266337308148;-1.617372989654541;;;-1.2775506973266602;-3.3823020458221436;-0.09012222290039062;-10.747570991516113;-9.390657424926758;7.665635108947754;0.868604302406311;3.066277503967285;-2.012840747833252;0.13916015625;-0.2330581098794937;39.64198684692383;32.55527877807617;24.170236587524414;1654266337308148;1654266337307188;5634052118;5634052233;28;4;-0.6784566044807434;-6.798627853393555;0.0012874603271484375;-968.6577349495668;-2381.27392578125;-0.33534979820251465;0.01738421432673931;-0.1463043987751007;-0.6862570643424988;0.7122809886932373;30.91513442993164;;30.879703521728516;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8313725490196079;0.0;;
5;0;1654266337318043;-1.988590955734253;;;0.4928129017353058;-2.2617015838623047;-0.3857147693634033;-0.31783026456832886;-0.07661445438861847;9.86351203918457;0.01709383726119995;0.034627076238393784;-0.002712573856115341;0.08779048919677734;-0.13425469398498535;39.83367919921875;32.386131286621094;24.092426300048828;1654266337317668;1654266337317115;5634056312;5634056384;29;5;-0.6377277374267578;-10.0;0.005510210990905762;357.0943648653259;-2359.462646484375;0.8437809944152832;0.9967299699783325;0.07011494785547256;0.03254687041044235;0.023538092151284218;30.646190643310547;;30.70672035217285;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.796078431372549;0.0;;
5;1;1654266337318043;-1.3985320329666138;;;-1.728638768196106;2.288440227508545;-0.32699108123779297;0.10683315992355347;-9.182868003845215;-0.08893756568431854;-0.008661752566695213;2.48881196975708;0.02418091893196106;0.045375823974609375;0.07342879474163055;41.02276611328125;33.31477737426758;24.092485427856445;1654266337317916;1654266337317115;5634060859;5634061083;29;5;0.6527331471443176;10.0;0.0025153160095214844;;2557.933837890625;0.8291902542114258;;;;;31.587295532226562;;31.83653450012207;;;;;;;;;0.0;0.9568627450980393;0.0;;
5;2;1654266337318043;-1.617372989654541;;;-1.3129104375839233;-3.6522789001464844;0.027428865432739258;-2.5791537761688232;-7.898471355438232;7.016208171844482;0.5748782157897949;2.386237382888794;-2.2693192958831787;0.06591796875;-0.11669275164604187;39.546142578125;32.59144973754883;24.18568992614746;1654266337318043;1654266337317115;5634062059;5634062162;29;5;-0.6323686838150024;-6.0917181968688965;-3.9184093475341797E-4;-992.7432785343747;-2414.456787109375;-0.25657033920288086;0.03455079719424248;-0.14793509244918823;-0.6850221753120422;0.712506890296936;30.91513442993164;;30.87995147705078;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7725490196078432;0.0;;
6;0;1654266337328143;-1.988590955734253;;;0.46305492520332336;-3.289982318878174;-0.356404185295105;-0.42437225580215454;-0.3968389332294464;10.216657638549805;0.030928775668144226;-0.023905305191874504;-5.841236561536789E-4;0.14638423919677734;-0.21950383484363556;40.025367736816406;32.42353439331055;24.092426300048828;1654266337327668;1654266337327116;5634066311;5634066384;30;6;-0.6602358222007751;-10.0;0.005091488361358643;334.0560188608556;-2317.209716796875;-0.3258519172668457;0.9968963861465454;0.06791339814662933;0.03216578811407089;0.023468883708119392;30.646190643310547;;30.706911087036133;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7372549019607844;0.0;;
6;1;1654266337328143;-1.3985320329666138;;;-1.7082329988479614;1.867803931236267;-1.0784506797790527;-1.0041203498840332;-9.683843612670898;-0.9374815821647644;0.09605201333761215;2.8241991996765137;-0.0023049116134643555;0.001430511474609375;-3.899603907484561E-4;41.01677322387695;33.34524154663086;24.092485427856445;1654266337327912;1654266337327116;5634070860;5634071093;30;6;0.6280814409255981;10.0;0.008295774459838867;;2593.5771484375;0.3786802291870117;;;;;31.587295532226562;;31.836599349975586;;;;;;;;;0.0;0.8980392156862745;0.0;;
6;2;1654266337328143;-1.617372989654541;;;-1.3475496768951416;-3.1851720809936523;0.2269577980041504;4.99550199508667;-8.534730911254883;0.6123170852661133;0.443978488445282;2.80234956741333;-2.1543827056884766;0.029296875;-0.050959859043359756;39.64198684692383;32.620113372802734;24.18568992614746;1654266337328143;1654266337327116;5634072057;5634072158;30;6;-0.6023579835891724;-5.399183750152588;-0.0032422542572021484;-1016.8288221827554;-2399.535400390625;-0.010619640350341797;0.051821622997522354;-0.14907987415790558;-0.6842423677444458;0.7119706273078918;30.847929000854492;;30.880191802978516;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7137254901960784;0.0;;
7;0;1654266337338039;-1.988590955734253;;;0.4291842579841614;-3.3051326274871826;-0.09976446628570557;-0.6739677786827087;-0.38905778527259827;11.25454330444336;0.007515817880630493;-4.923529922962189E-4;4.8010051250457764E-4;0.08779048919677734;-0.12608610093593597;39.977447509765625;32.45919418334961;24.107831954956055;1654266337337667;1654266337337114;5634076307;5634076365;31;7;-0.6227223873138428;-10.0;0.0014252066612243652;311.0176727928123;-2353.814453125;-0.3689138889312744;0.9968922734260559;0.06801119446754456;0.03208896890282631;0.02346387691795826;30.646190643310547;;30.707101821899414;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6745098039215687;0.0;;
7;1;1654266337338039;-1.3985320329666138;;;-1.6937028169631958;1.189181923866272;-1.0361897945404053;-0.1504637598991394;-10.797340393066406;1.0093154907226562;0.0370822437107563;3.226459503173828;-0.04702162742614746;-0.031528472900390625;-0.04262017458677292;41.02875518798828;33.37527847290039;24.107900619506836;1654266337337914;1654266337337114;5634080885;5634081086;31;7;0.6141479015350342;10.0;0.007970690727233887;;2596.197265625;-0.20774245262145996;;;;;31.587295532226562;;31.836647033691406;;;;;;;;;0.0;0.8392156862745098;0.0;;
7;2;1654266337338039;-1.617372989654541;;;-1.378598690032959;-3.0848493576049805;0.17604708671569824;11.265915870666504;-9.744999885559082;-0.19871874153614044;0.5099604725837708;3.193984270095825;-1.654196858406067;0.029296875;-0.05676767975091934;39.49821853637695;32.64742660522461;24.20114517211914;1654266337338039;1654266337337114;5634082054;5634082146;31;7;-0.5980707406997681;-4.7784247398376465;-0.002514958381652832;-1040.9143658311364;-2359.865478515625;-0.012181282043457031;0.06944924592971802;-0.15332458913326263;-0.6830442547798157;0.7107171416282654;30.847929000854492;;30.880416870117188;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6509803921568628;0.0;;
8;0;1654266337348041;-1.988590955734253;;;0.3993326425552368;-2.8725924491882324;-0.16012966632843018;-0.7487865686416626;0.043095629662275314;10.042478561401367;-0.014832913875579834;0.011214125901460648;4.8010051250457764E-4;0.051169395446777344;-0.08172953128814697;39.977447509765625;32.487525939941406;24.107831954956055;1654266337347668;1654266337347118;5634086311;5634086392;32;8;-0.6023579835891724;-10.0;0.002287566661834717;287.97932648635043;-2323.073486328125;0.2243807315826416;0.9968950748443604;0.06794200837612152;0.03214239701628685;0.023473264649510384;30.646190643310547;;30.707292556762695;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.615686274509804;0.0;;
8;1;1654266337348041;-1.3985320329666138;;;-1.6845791339874268;0.8452927470207214;-0.39603114128112793;-0.23362389206886292;-9.463876724243164;0.6820502877235413;-0.015351552516222;3.0656700134277344;-0.10716161131858826;0.016078948974609375;0.0572134368121624;41.02875518798828;33.40487289428711;24.092485427856445;1654266337347914;1654266337347118;5634090885;5634091094;32;8;0.6473740339279175;10.0;0.003046393394470215;;2538.78759765625;-0.5549622178077698;;;;;31.587295532226562;;31.836698532104492;;;;;;;;;0.0;0.7764705882352941;0.0;;
8;2;1654266337348041;-1.617372989654541;;;-1.4073868989944458;-2.8024492263793945;0.03448843955993652;7.163451671600342;-9.056666374206543;3.9588124752044678;0.4993182122707367;3.013066291809082;-1.0784510374069214;0.05859375;-0.09415791928768158;39.546142578125;32.675331115722656;24.18568992614746;1654266337348041;1654266337347118;5634092050;5634092144;32;8;-0.6045016050338745;-4.202854633331299;-4.926919937133789E-4;-1063.9527118991796;-2317.983642578125;0.306180477142334;0.08519067615270615;-0.15970741212368011;-0.6810258030891418;0.7095350027084351;30.847929000854492;;30.880626678466797;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.592156862745098;0.0;;
9;0;1654266337358086;-1.988590955734253;;;0.37070924043655396;-2.975660800933838;-0.21385252475738525;-0.9588778018951416;0.44352585077285767;10.06043529510498;-0.0084475576877594;-0.017519954591989517;0.0132508035749197;0.08779048919677734;-0.130937397480011;39.88159942626953;32.516624450683594;24.092426300048828;1654266337357669;1654266337357117;5634096311;5634096369;33;9;-0.6141479015350342;-10.0;0.0030550360679626465;264.94098048188016;-2282.0029296875;-0.13832354545593262;0.9969914555549622;0.06643699109554291;0.032309968024492264;0.023460261523723602;30.646190643310547;;30.707483291625977;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5568627450980392;0.0;;
9;1;1654266337358086;-1.3985320329666138;;;-1.6766347885131836;0.8220130205154419;0.12142062187194824;-1.098787784576416;-9.569223403930664;-0.5371015667915344;0.04739935323596001;2.942960739135742;-0.1242668628692627;0.09298324584960938;0.15496568381786346;41.0317497253418;33.43657684326172;24.077072143554688;1654266337357913;1654266337357117;5634100883;5634101083;33;9;0.6806002259254456;10.0;-9.340047836303711E-4;;2506.91455078125;-0.5009469985961914;;;;;31.587295532226562;;31.836753845214844;;;;;;;;;0.0;0.7176470588235294;0.0;;
9;2;1654266337358086;-1.617372989654541;;;-1.4364346265792847;-2.9957613945007324;-0.010881423950195312;0.23283611238002777;-8.933963775634766;3.90554141998291;0.3120145797729492;2.938570499420166;-0.8251654505729675;0.076904296875;-0.14948275685310364;39.64198684692383;32.705711364746094;24.170236587524414;1654266337358086;1654266337357117;5634102063;5634102167;33;9;-0.6184351444244385;-3.622065544128418;1.5544891357421875E-4;-1086.9910581420684;-2279.287841796875;-0.028769493103027344;0.09905992448329926;-0.16655081510543823;-0.6785904169082642;0.7084935307502747;30.847929000854492;;30.880840301513672;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5333333333333333;0.0;;
10;0;1654266337368030;-1.988590955734253;;;0.3394668400287628;-3.1580898761749268;-0.13877153396606445;-1.1378443241119385;0.5482721924781799;10.96664047241211;-0.005254894495010376;-0.05157516151666641;0.005801226943731308;0.08412837982177734;-0.12037347257137299;39.977447509765625;32.546878814697266;24.092426300048828;1654266337367656;1654266337367106;5634106301;5634106358;34;10;-0.6055734157562256;-10.0;0.001982450485229492;241.90263441383684;-2278.9296875;-0.14505648612976074;0.9969990849494934;0.06641629338264465;0.03209054842591286;0.023492665961384773;30.646190643310547;;30.707683563232422;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.49411764705882355;0.0;;
