sequence;id;time;positionCmd;velocityCmd;effortCmd;position;velocity;effort;accelX;accelY;accelZ;gyroX;gyroY;gyroZ;motorCurrent;windingCurrent;ambientTemperature;windingTemperature;voltage;pcRxTime;pcTxTime;hwRxTime;hwTxTime;sequence;rxSequence;pwmCmd;innerEffortCmd;deflection;motorPosition;motorVelocity;deflectionVelocity;orientationW;orientationX;orientationY;orientationZ;motorTemperature;processorTemperature;actuatorTemperature;pressure;resetButtonState;mStopState;commandLockState;temperatureState;positionLimitState;velocityLimitState;effortLimitState;ledR;ledG;ledB;ledA;
0;0;1654267215539559;;;;0.06754449009895325;-0.003282058984041214;0.048096999526023865;-0.7410054206848145;0.13706804811954498;10.432135581970215;-8.134692907333374E-4;5.208849906921387E-4;-0.0010505039244890213;0.007224082946777344;-0.0;40.16913604736328;30.764854431152344;24.12323570251465;1654267215539461;1654267215538817;6512280926;6512281012;13;0;-0.0;0.0;-6.870999932289124E-4;38.74630942341504;0.0;0.032538723200559616;0.9960677027702332;0.07996118813753128;0.025175992399454117;0.028665412217378616;30.713455200195312;;30.760135650634766;;;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.5882352941176471;0.0;;
0;1;1654267215539559;;;;-1.7752349376678467;0.009795710444450378;0.19391655921936035;-0.14517787098884583;-9.833573341369629;0.31555497646331787;-0.0013932771980762482;0.001494122319854796;2.435340138617903E-5;-0.005893707275390625;0.0;41.26237869262695;31.94832420349121;24.107900619506836;1654267215539551;1654267215538817;6512285947;6512286147;13;0;0.0;0.0;-0.0014916658401489258;;0.0;-0.03272790461778641;;;;;31.788864135742188;;31.934839248657227;;;;;;;;;0.0;0.5647058823529412;0.0;;
0;2;1654267215539559;;;;-0.5135704278945923;0.04095471650362015;-0.02664029598236084;-1.8088194131851196;-9.644442558288574;0.18734627962112427;-5.180537700653076E-4;9.832438081502914E-5;-4.46883961558342E-4;0.0;0.0;39.88159942626953;31.065452575683594;24.20114517211914;1654267215539559;1654267215538817;6512287342;6512287430;13;0;0.0;0.0;3.8057565689086914E-4;-384.3215013818653;0.0;0.06688742339611053;0.16425155103206635;-0.28438201546669006;-0.6408110857009888;0.6939089298248291;31.049591064453125;;31.06383514404297;;;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.592156862745098;0.0;;
1;0;1654267215549764;-1.988590955734253;;;0.0674675703048706;-0.025922194123268127;-0.010341629385948181;-0.7272387742996216;0.11552023142576218;10.469245910644531;2.5150179862976074E-4;5.206242203712463E-4;-0.0010500401258468628;1.9005346298217773;-2.1936349868774414;40.217063903808594;31.339509963989258;23.306804656982422;1654267215549407;1654267215548822;6512290912;6512290984;14;1;-1.0;-10.0;1.477375626564026E-4;36.651914199166974;-69.81317138671875;0.27617424726486206;0.9960677027702332;0.07996121048927307;0.025178881362080574;0.028661973774433136;30.780668258666992;;30.760143280029297;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.611764705882353;0.0;;
1;1;1654267215549764;-1.3985320329666138;;;-1.775209903717041;-0.012393858283758163;0.20411372184753418;-0.2350139021873474;-9.842607498168945;0.20039071142673492;-3.70299065252766E-4;2.607481728773564E-4;-8.91729025170207E-4;2.0778465270996094;2.242753505706787;41.26537322998047;31.948244094848633;23.475915908813477;1654267215549472;1654267215548822;6512295950;6512296149;14;1;1.0;10.0;-0.0015701055526733398;;0.0;-0.04581628367304802;;;;;31.856081008911133;;31.934772491455078;;;;;;;;;0.0;0.4470588235294118;0.0;;
1;2;1654267215549764;-1.617372989654541;;;-0.513651967048645;-0.009185900911688805;-0.03785967826843262;-1.9063831567764282;-9.68155288696289;0.06344634294509888;-0.003708884119987488;-9.662862867116928E-4;6.175544112920761E-4;2.076416015625;-2.249157428741455;39.977447509765625;31.505863189697266;23.49025535583496;1654267215549764;1654267215548822;6512297342;6512297426;14;1;-1.0;-10.0;5.408525466918945E-4;-385.36869872378423;0.0;0.11022539436817169;0.1642245352268219;-0.2844031751155853;-0.6408050060272217;0.693912148475647;31.049591064453125;;31.063840866088867;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6352941176470588;0.0;;
2;0;1654267215559806;-1.988590955734253;;;0.05539874732494354;-2.4858999252319336;-0.4772628843784332;-1.0342950820922852;0.1885433793067932;10.624868392944336;-0.0178394615650177;-0.03459906578063965;1.4858320355415344E-5;1.1058568954467773;-1.2003343105316162;39.88159942626953;32.13330841064453;23.645700454711914;1654267215559484;1654267215558859;6512300923;6512301004;15;2;-1.0;-10.0;0.006818041205406189;21.991148662551332;-1885.59765625;0.0052220821380615234;0.9960722923278809;0.07992931455373764;0.02510892227292061;0.028650959953665733;30.847929000854492;;30.76030158996582;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6705882352941176;0.0;;
2;1;1654267215559806;-1.3985320329666138;;;-1.7739102840423584;0.1859610378742218;1.0269999504089355;-4.365016937255859;-10.054853439331055;-5.2986741065979;0.06433215737342834;0.8219528198242188;-0.06504015624523163;1.1806297302246094;1.206275463104248;41.26537322998047;32.96649169921875;23.737958908081055;1654267215559549;1654267215558859;6512305976;6512306184;15;2;1.0;10.0;-0.007899999618530273;;1885.158203125;-0.8812367916107178;;;;;31.92324447631836;;31.934770584106445;;;;;;;;;0.0;0.5098039215686274;0.0;;
2;2;1654267215559806;-1.617372989654541;;;-0.5224387645721436;-1.9415030479431152;-0.5162084102630615;-3.0831332206726074;-9.763554573059082;-5.367201805114746;0.10058518499135971;0.8972396850585938;-0.02492385171353817;1.197509765625;-1.2893052101135254;39.977447509765625;32.408729553222656;23.79933738708496;1654267215559806;1654267215558859;6512307405;6512307518;15;2;-1.0;-10.0;0.007374405860900879;-398.98226691848095;-1751.2060546875;0.48250484466552734;0.16525839269161224;-0.285460889339447;-0.6404819488525391;0.6935305595397949;31.116788864135742;;31.063983917236328;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6941176470588235;0.0;;
3;0;1654267215569809;-1.988590955734253;;;0.017362697049975395;-3.9901742935180664;-0.1017943024635315;-0.6224924325942993;0.4854243993759155;10.015543937683105;-0.022096365690231323;-0.021828364580869675;-0.002113591879606247;0.15004634857177734;-0.10416515916585922;40.07329177856445;32.33964538574219;24.077022552490234;1654267215569465;1654267215568818;6512310929;6512311010;16;3;-0.6548767685890198;-10.0;0.0014542043209075928;-3.141592566167013;-2736.681884765625;-0.2723066806793213;0.9960998892784119;0.07965851575136185;0.024910377338528633;0.028618711978197098;30.847929000854492;;30.760547637939453;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7294117647058823;0.0;;
3;1;1654267215569809;-1.3985320329666138;;;-1.76778244972229;0.9276790022850037;2.0063459873199463;-2.8369410037994385;-9.568928718566895;-1.362256646156311;0.1011279821395874;2.7954399585723877;-0.17580251395702362;0.3566551208496094;0.43206459283828735;41.26237869262695;33.29126739501953;24.061656951904297;1654267215569489;1654267215568818;6512315962;6512316170;16;3;0.7706323862075806;10.0;-0.015433430671691895;;2557.481689453125;-0.5817047953605652;;;;;31.92324447631836;;31.93490982055664;;;;;;;;;0.0;0.5686274509803921;0.0;;
3;2;1654267215569809;-1.617372989654541;;;-0.555877149105072;-3.4449384212493896;-0.34873127937316895;-15.740678787231445;-4.839280128479004;-9.326014518737793;0.4688071012496948;2.8426434993743896;-0.320778489112854;0.4248046875;-0.4109729528427124;40.07329177856445;32.680110931396484;24.10841941833496;1654267215569809;1654267215568818;6512317349;6512317462;16;3;-0.7577706575393677;-10.0;0.004981875419616699;-423.0678105668618;-2641.5478515625;-0.031047344207763672;0.17269445955753326;-0.29187750816345215;-0.6379467248916626;0.6913813948631287;31.116788864135742;;31.064210891723633;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7529411764705882;0.0;;
4;0;1654267215579834;-1.988590955734253;;;-0.022377820685505867;-4.01668119430542;0.13834217190742493;-0.4602852761745453;0.3429693877696991;10.750564575195312;0.009830400347709656;0.06650233268737793;-0.0063704922795295715;-0.051369667053222656;0.1029936671257019;40.16913604736328;32.37934112548828;24.138639450073242;1654267215579492;1654267215578814;6512320942;6512321027;17;4;-0.5755627155303955;-10.0;-0.0019763167947530746;-29.321531375222882;-2488.451904296875;-0.581754207611084;0.99610835313797;0.07951672375202179;0.025044305250048637;0.028603628277778625;30.780668258666992;;30.76079559326172;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.788235294117647;0.0;;
4;1;1654267215579834;-1.3985320329666138;;;-1.752160668373108;1.8657855987548828;1.869676113128662;-0.5102003216743469;-10.180126190185547;1.3187023401260376;-0.06165346875786781;3.634861946105957;-0.16028061509132385;0.24679183959960938;0.36861732602119446;41.256385803222656;33.342777252197266;24.092485427856445;1654267215579497;1654267215578814;6512325967;6512326176;17;4;0.7513397932052612;10.0;-0.014382123947143555;;2371.802734375;0.4692673683166504;;;;;31.92324447631836;;31.93507957458496;;;;;;;;;0.0;0.6274509803921569;0.0;;
4;2;1654267215579834;-1.617372989654541;;;-0.5888785123825073;-3.520312786102295;-0.45578479766845703;-19.613300323486328;-8.558672904968262;-5.258863925933838;0.8838549852371216;3.557802677154541;-1.1391675472259521;0.018310546875;-0.05629262328147888;39.88159942626953;32.711585998535156;24.216598510742188;1654267215579834;1654267215578814;6512327351;6512327456;17;4;-0.6291532516479492;-10.0;0.006511211395263672;-448.2005517955801;-2437.586181640625;-0.1368546485900879;0.18681050837039948;-0.30019277334213257;-0.6336421966552734;0.688101589679718;31.116788864135742;;31.0644588470459;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8156862745098039;0.0;;
5;0;1654267215589823;-1.988590955734253;;;-0.054930802434682846;-2.77952241897583;0.17422743141651154;-0.6033388376235962;0.10773907601833344;10.559626579284668;0.02047264575958252;0.06756655126810074;-0.005306266248226166;0.058493614196777344;-0.08168870210647583;39.977447509765625;32.40824508666992;24.092426300048828;1654267215589540;1654267215588813;6512330942;6512331027;18;5;-0.6280814409255981;-10.0;-0.002488963305950165;-53.4070750236037;-2435.780517578125;0.39574098587036133;0.9960923194885254;0.07957330346107483;0.025483136996626854;0.028614945709705353;30.780668258666992;;30.761024475097656;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8509803921568627;0.0;;
5;1;1654267215589823;-1.3985320329666138;;;-1.7298696041107178;2.403233766555786;0.8080554008483887;2.4075613021850586;-9.674825668334961;2.2864091396331787;-0.1421058177947998;3.4180564880371094;-0.05940768122673035;0.2577781677246094;0.3688669502735138;41.250396728515625;33.41904067993164;24.061656951904297;1654267215589540;1654267215588813;6512335940;6512336148;18;5;0.7513397932052612;9.9401273727417;-0.006215810775756836;;2459.794189453125;0.955321192741394;;;;;31.856081008911133;;31.935237884521484;;;;;;;;;0.0;0.6862745098039216;0.0;;
5;2;1654267215589823;-1.617372989654541;;;-0.6232905387878418;-3.2477636337280273;-0.22755444049835205;-14.931438446044922;-8.667010307312012;6.6355299949646;0.8955614566802979;3.2736546993255615;-1.9522356986999512;0.164794921875;-0.2650361955165863;39.88159942626953;32.754432678222656;24.170236587524414;1654267215589823;1654267215588813;6512337360;6512337445;18;5;-0.6913183331489563;-10.0;0.0032507777214050293;-472.2860956823795;-2390.427734375;-0.1240236759185791;0.20476870238780975;-0.30620378255844116;-0.6294816732406616;0.6841504573822021;31.049591064453125;;31.064672470092773;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8745098039215686;0.0;;
6;0;1654267215600033;-1.988590955734253;;;-0.08037438243627548;-2.586402654647827;-0.07715828716754913;-0.6129156351089478;-0.30286651849746704;9.970054626464844;0.02047264575958252;-0.011186111718416214;-0.004242041148245335;0.054831504821777344;-0.07609813660383224;40.025367736816406;32.436946868896484;24.107831954956055;1654267215599629;1654267215598887;6512340957;6512341041;19;6;-0.6173633337020874;-10.0;0.001102261245250702;-77.49261867198453;-2394.658203125;0.22858333587646484;0.9961084127426147;0.07933296263217926;0.025625130161643028;0.028596626594662666;30.780668258666992;;30.761253356933594;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9098039215686274;0.0;;
6;1;1654267215600033;-1.3985320329666138;;;-1.7057663202285767;2.4268710613250732;-0.0605165958404541;0.755671501159668;-9.324396133422852;-0.2501060366630554;-0.004511209204792976;2.8021554946899414;-0.016530632972717285;0.060024261474609375;0.09241721779108047;41.26537322998047;33.46747970581055;24.092485427856445;1654267215599629;1654267215598887;6512346076;6512346277;19;6;0.6591640114784241;9.217028617858887;4.655122756958008E-4;;2563.7822265625;0.6693137884140015;;;;;31.856081008911133;;31.93538475036621;;;;;;;;;0.0;0.7490196078431373;0.0;;
