sequence;id;time;positionCmd;velocityCmd;effortCmd;position;velocity;effort;accelX;accelY;accelZ;gyroX;gyroY;gyroZ;motorCurrent;windingCurrent;ambientTemperature;windingTemperature;voltage;pcRxTime;pcTxTime;hwRxTime;hwTxTime;sequence;rxSequence;pwmCmd;innerEffortCmd;deflection;motorPosition;motorVelocity;deflectionVelocity;orientationW;orientationX;orientationY;orientationZ;motorTemperature;processorTemperature;actuatorTemperature;pressure;resetButtonState;mStopState;commandLockState;temperatureState;positionLimitState;velocityLimitState;effortLimitState;ledR;ledG;ledB;ledA;
0;0;1654267140676685;0.635761022567749;;;0.06720595061779022;0.01402757503092289;0.08077464997768402;-0.7368155717849731;0.1346738487482071;10.42315673828125;0.00796268880367279;-7.643140852451324E-4;-0.0010267067700624466;1.9041967391967773;2.1869773864746094;39.977447509765625;31.42019271850586;23.306804656982422;1654267140676654;1654267140675984;6437417910;6437417967;21;0;1.0;10.0;-0.0011539235711097717;39.793507003752566;80.42992401123047;-0.052076555788517;0.9966038465499878;0.07276681065559387;0.025753045454621315;0.028679411858320236;30.780668258666992;;30.837596893310547;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6235294117647059;0.0;;
0;1;1654267140676685;-0.459320992231369;;;-1.7748546600341797;-0.008675185963511467;0.19210338592529297;-0.2562401592731476;-9.869884490966797;0.37130820751190186;-4.7735669068060815E-4;2.0208125351928174E-4;1.1271437688264996E-4;2.0741844177246094;2.234229326248169;41.415130615234375;32.94768142700195;23.475915908813477;1654267140676685;1654267140675984;6437422880;6437423081;21;0;1.0;10.0;-0.0014777183532714844;;0.0;-0.12259844690561295;;;;;31.856081008911133;;32.191192626953125;;;;;;;;;0.0;0.7843137254901961;0.0;;
0;2;1654267140676685;-1.147022008895874;;;-0.5134422779083252;0.005698760971426964;-0.042040348052978516;-1.8758569955825806;-9.667786598205566;0.18076223134994507;-2.3061037063598633E-4;2.1024327725172043E-4;6.782300770282745E-4;2.083740234375;-2.250767707824707;39.88159942626953;31.49090576171875;23.505708694458008;1654267140676658;1654267140675984;6437424241;6437424326;21;0;-1.0;-10.0;6.005764007568359E-4;-385.36869872378423;0.0;0.08870171755552292;0.16760435700416565;-0.2869161367416382;-0.639590859413147;0.6931893229484558;31.049591064453125;;31.04456329345703;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;;
1;0;1654267140687058;0.635761022567749;;;0.07499104738235474;1.6480188369750977;0.7472550868988037;-0.5871779918670654;0.29568392038345337;10.622474670410156;-0.013322576880455017;0.018392689526081085;0.0011015553027391434;1.1058568954467773;1.1939997673034668;40.217063903808594;32.20278549194336;23.645700454711914;1654267140686676;1654267140686046;6437427950;6437428034;22;1;1.0;10.0;-0.01067507266998291;54.45427277878679;1896.4569091796875;-0.8033411502838135;0.9966041445732117;0.07275425642728806;0.025779196992516518;0.028680775314569473;30.847929000854492;;30.837722778320312;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5647058823529412;0.0;;
1;1;1654267140687058;-0.459320992231369;;;-1.7744263410568237;-0.024573171511292458;1.0848820209503174;2.014237880706787;-10.18539047241211;5.071491241455078;-0.03943901136517525;-0.5560827851295471;-0.0332944393157959;1.1073875427246094;1.2156453132629395;41.42112350463867;33.69633102416992;23.768787384033203;1654267140686806;1654267140686046;6437432973;6437433174;22;1;1.0;10.0;-0.008345246315002441;;1868.9365234375;-1.054100751876831;;;;;31.92324447631836;;32.191162109375;;;;;;;;;0.0;0.7254901960784313;0.0;;
1;2;1654267140687058;-1.147022008895874;;;-0.5196528434753418;-1.435749888420105;-0.690949559211731;1.7938556671142578;-9.93354320526123;3.7463271617889404;-0.048120737075805664;-0.4872049391269684;0.030476538464426994;1.20849609375;-1.291007399559021;39.977447509765625;32.38460922241211;23.79933738708496;1654267140687058;1654267140686046;6437434341;6437434446;22;1;-1.0;-10.0;0.009870707988739014;-398.98226691848095;-1748.3377685546875;0.9281619787216187;0.16731150448322296;-0.28629034757614136;-0.6396106481552124;0.6935005784034729;31.116788864135742;;31.044696807861328;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5411764705882353;0.0;;
2;0;1654267140697123;0.635761022567749;;;0.1093982681632042;4.072354793548584;0.5309664607048035;-0.7326257228851318;0.6111199855804443;10.012551307678223;-0.023964837193489075;0.0205211378633976;-0.010604921728372574;0.28188228607177734;0.2968681752681732;40.36083221435547;32.43330383300781;24.03080940246582;1654267140696745;1654267140696088;6437437966;6437438050;23;2;0.7202572226524353;10.0;-0.0075852349400520325;78.53981642716761;2637.1201171875;0.6487641334533691;0.9966120719909668;0.07258991152048111;0.025941330939531326;0.028674783185124397;30.847929000854492;;30.837928771972656;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5058823529411764;0.0;;
2;1;1654267140697123;-0.459320992231369;;;-1.772070288658142;0.5340012311935425;2.562742233276367;1.6951866149902344;-9.549302101135254;3.7377471923828125;-0.1193624958395958;-2.556096315383911;-0.06922781467437744;0.4115867614746094;0.48485618829727173;41.409141540527344;33.90990447998047;24.04624366760254;1654267140696831;1654267140696088;6437443001;6437443202;23;2;0.7877813577651978;10.0;-0.019713401794433594;;2530.460693359375;-1.0050188302993774;;;;;31.92324447631836;;32.19120788574219;;;;;;;;;0.0;0.6666666666666666;0.0;;
2;2;1654267140697123;-1.147022008895874;;;-0.5526929497718811;-3.7838990688323975;-0.5310326814651489;-12.05839729309082;-4.2078094482421875;8.808267593383789;-0.3365257680416107;-2.47198486328125;-0.023798950016498566;0.662841796875;-0.5376788973808289;39.83367919921875;32.676517486572266;24.062057495117188;1654267140697123;1654267140696088;6437444414;6437444498;23;2;-0.8017148971557617;-10.0;0.007586181163787842;-423.0678105668618;-2575.445068359375;-0.37291502952575684;0.161895751953125;-0.2812570631504059;-0.6414129137992859;0.6951789855957031;31.116788864135742;;31.044933319091797;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.47843137254901963;0.0;;
3;0;1654267140707106;0.635761022567749;;;0.14726662635803223;3.3698835372924805;0.238325297832489;-1.1402385234832764;0.4668693244457245;10.696096420288086;0.014347270131111145;-0.060359977185726166;-0.006348021328449249;-1.0013580322265625E-4;0.0063436804339289665;40.40875244140625;32.46376037597656;24.12323570251465;1654267140706688;1654267140705999;6437447926;6437448007;24;3;0.6141479015350342;10.0;-0.0034046471118927;104.71975523622348;2476.89453125;0.09773635864257812;0.9966216683387756;0.07250361144542694;0.025869037955999374;0.028623506426811218;30.847929000854492;;30.838138580322266;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.44313725490196076;0.0;;
