sequence;id;time;positionCmd;velocityCmd;effortCmd;position;velocity;effort;accelX;accelY;accelZ;gyroX;gyroY;gyroZ;motorCurrent;windingCurrent;ambientTemperature;windingTemperature;voltage;pcRxTime;pcTxTime;hwRxTime;hwTxTime;sequence;rxSequence;pwmCmd;innerEffortCmd;deflection;motorPosition;motorVelocity;deflectionVelocity;orientationW;orientationX;orientationY;orientationZ;motorTemperature;processorTemperature;actuatorTemperature;pressure;resetButtonState;mStopState;commandLockState;temperatureState;positionLimitState;velocityLimitState;effortLimitState;ledR;ledG;ledB;ledA;
0;0;1651583513911954;0.0;;;0.05382724851369858;0.04765356704592705;-1.3265212774276733;-0.16500741243362427;-9.827147483825684;0.2084689885377884;2.9624460148625076E-4;0.0019275718368589878;-2.137967967428267E-4;0.023403167724609375;-0.17575548589229584;33.741485595703125;28.098236083984375;24.092485427856445;1651583513911954;1651583513910955;111380855;111381052;0;0;-0.07642856985330582;-0.538272500038147;0.010204009711742401;;0.0;-0.015981528908014297;;;;;25.99968719482422;;26.435632705688477;;;;;;;;;0.0;0.0;0.0;;
1;0;1651583513913962;0.0;;;0.053781602531671524;0.003678729757666588;-1.3170191049575806;-0.1650705635547638;-9.82884693145752;0.20929868519306183;-8.053912897594273E-4;9.113220730796456E-4;-7.674824155401438E-5;0.023403167724609375;-0.1779801845550537;33.741485595703125;28.09832763671875;24.092485427856445;1651583513913962;1651583513913055;111382844;111383072;1;1;-0.07547619193792343;-0.537816047668457;0.01013091579079628;;0.0;-0.028011398389935493;;;;;25.99968719482422;;26.435609817504883;;;;;;;;;0.0;0.0;0.0;;
2;0;1651583513915930;0.0;;;0.05372707173228264;-0.02206076867878437;-1.327956199645996;-0.15956303477287292;-9.8248929977417;0.21782036125659943;-8.047060109674931E-4;9.045842452906072E-4;-7.627945888089016E-5;0.023403167724609375;-0.1751992404460907;33.741485595703125;28.09832763671875;24.092485427856445;1651583513915930;1651583513915220;111384856;111385056;2;2;-0.07452380657196045;-0.537270724773407;0.010215047746896744;;0.0;0.016331994906067848;;;;;25.99968719482422;;26.435609817504883;;;;;;;;;0.0;0.0;0.0;;
3;0;1651583513917999;0.0;;;0.053752318024635315;-0.005434252321720123;-1.3233622312545776;-0.15182682871818542;-9.809653282165527;0.21638567745685577;2.58838088484481E-4;8.665595087222755E-4;-7.325471960939467E-5;0.023403167724609375;-0.17631161212921143;33.735496520996094;28.098295211791992;24.092485427856445;1651583513917999;1651583513917312;111386932;111387132;3;3;-0.07500000298023224;-0.5375231504440308;0.010179709643125534;;0.0;0.0023790299892425537;;;;;25.99968719482422;;26.43558692932129;;;;;;;;;0.0;0.0;0.0;;
4;0;1651583513920118;0.0;;;0.05382312461733818;0.022208698093891144;-1.334781289100647;-0.15342512726783752;-9.804017066955566;0.21745164692401886;-8.047060109674931E-4;9.045842452906072E-4;-7.627945888089016E-5;0.023403167724609375;-0.17631162703037262;33.73849105834961;28.098295211791992;24.092485427856445;1651583513920118;1651583513919401;111388995;111389247;4;4;-0.07642856985330582;-0.5382312536239624;0.010267548263072968;;0.0;0.033322934061288834;;;;;25.99968719482422;;26.43558692932129;;;;;;;;;0.0;0.0;0.0;;
5;0;1651583513922192;0.0;;;0.053821150213479996;0.007509829476475716;-1.334919810295105;-0.1485743224620819;-9.80142593383789;0.2291743904352188;2.58838088484481E-4;8.665595087222755E-4;-7.325471960939467E-5;0.023403167724609375;-0.179648756980896;33.73849105834961;28.098295211791992;24.092485427856445;1651583513922192;1651583513921501;111391099;111391299;5;5;-0.07619047909975052;-0.5382115244865417;0.010268613696098328;;0.0;0.014054695144295692;;;;;25.99968719482422;;26.43558692932129;;;;;;;;;0.0;0.0;0.0;;
6;0;1651583513924305;0.0;;;0.05373624712228775;-0.028402049094438553;-1.3161473274230957;-0.14316493272781372;-9.801613807678223;0.22013212740421295;2.2074625303503126E-4;-1.8771510804072022E-4;6.681859667878598E-5;0.023403167724609375;-0.17575541138648987;33.744483947753906;28.098356246948242;24.092485427856445;1651583513924305;1651583513923603;111393201;111393400;6;6;-0.07452380657196045;-0.5373624563217163;0.010124210268259048;;0.0;-0.044602170586586;;;;;25.99968719482422;;26.435564041137695;;;;;;;;;0.0;0.0;0.0;;
7;0;1651583513926593;0.0;;;0.053796544671058655;0.005515583790838718;-1.3342276811599731;-0.13764166831970215;-9.799269676208496;0.20290358364582062;-8.810822037048638E-4;-0.0012051868252456188;2.046799345407635E-4;0.023403167724609375;-0.17631159722805023;33.735496520996094;28.098356246948242;24.092485427856445;1651583513926593;1651583513925679;111395275;111395501;7;7;-0.07571428269147873;-0.5379654169082642;0.010263290256261826;;0.0;0.02706604078412056;;;;;25.99968719482422;;26.435564041137695;;;;;;;;;0.0;0.0;0.0;;
8;0;1651583513928706;0.0;;;0.05384756252169609;0.018713127821683884;-1.33112633228302;-0.13896769285202026;-9.802863121032715;0.20277954638004303;-8.830906008370221E-4;-0.0013452814891934395;-8.502872660756111E-4;0.023403167724609375;-0.17964871227741241;33.73849105834961;28.0985107421875;24.092485427856445;1651583513928706;1651583513927742;111397360;111397559;8;8;-0.07690475881099701;-0.5384756326675415;0.010239433497190475;;0.0;0.008488688617944717;;;;;25.99968719482422;;26.4355411529541;;;;;;;;;0.0;0.0;0.0;;
9;0;1651583513930738;0.0;;;0.05380494147539139;-0.009125251322984695;-1.317409873008728;-0.1479322910308838;-9.80199146270752;0.20690740644931793;-9.21182450838387E-4;-0.002399556105956435;-7.102140225470066E-4;0.023403167724609375;-0.1790924221277237;33.72950744628906;28.0985107421875;24.092485427856445;1651583513930738;1651583513929827;111399451;111399857;9;9;-0.07595238089561462;-0.5380493998527527;0.010133922100067139;;0.0;-0.03704536333680153;;;;;25.99968719482422;;26.4355411529541;;;;;;;;;0.0;0.0;0.0;;
10;0;1651583513933016;0.0;;;0.05376278609037399;-0.020447786897420883;-1.3341701030731201;-0.1415565013885498;-9.807445526123047;0.21305407583713531;-8.830906008370221E-4;-0.0013452814891934395;-8.502872660756111E-4;0.027065277099609375;-0.17631147801876068;33.73250198364258;28.0985107421875;24.092485427856445;1651583513933016;1651583513931932;111401692;111402093;10;10;-0.07595238089561462;-0.5380209684371948;0.010262846946716309;;0.0;0.02070239931344986;;;;;25.99968719482422;;26.4355411529541;;;;;;;;;0.0;0.0;0.0;;
11;0;1651583513935111;0.0;;;0.053716547787189484;-0.02318139746785164;-1.3134231567382812;-0.14453157782554626;-9.807140350341797;0.20999999344348907;1.4126180030871183E-4;-0.0024343952536582947;-7.058928022161126E-4;0.023403167724609375;-0.1740867644548416;33.735496520996094;28.098447799682617;24.092485427856445;1651583513935111;1651583513933177;111403962;111404186;11;11;-0.07428571581840515;-0.5371654629707336;0.0101032555103302;;0.0;-0.042276930063962936;;;;;25.99968719482422;;26.435518264770508;;;;;;;;;0.0;0.0;0.0;;
