sequence;id;time;positionCmd;velocityCmd;effortCmd;position;velocity;effort;accelX;accelY;accelZ;gyroX;gyroY;gyroZ;motorCurrent;windingCurrent;ambientTemperature;windingTemperature;voltage;pcRxTime;pcTxTime;hwRxTime;hwTxTime;sequence;rxSequence;pwmCmd;innerEffortCmd;deflection;motorPosition;motorVelocity;deflectionVelocity;orientationW;orientationX;orientationY;orientationZ;motorTemperature;processorTemperature;actuatorTemperature;pressure;resetButtonState;mStopState;commandLockState;temperatureState;positionLimitState;velocityLimitState;effortLimitState;ledR;ledG;ledB;ledA;
0;0;1651584420343188;0.0;;;0.05224088951945305;0.007519494742155075;-0.6974731683731079;-0.1694244146347046;-9.796496391296387;0.25150448083877563;0.0016313925152644515;-0.001622376381419599;-9.643161320127547E-6;0.008754730224609375;-0.10553473979234695;35.173179626464844;27.08290672302246;24.092485427856445;1651584420343188;1651584420342097;152553857;152554082;0;0;-0.04476190358400345;-0.5224089026451111;0.0053651779890060425;;0.0;0.02956327795982361;;;;;26.404285430908203;;26.51047134399414;;;;;;;;;1.0;0.5019607843137255;0.0;;
1;0;1651584420345112;0.0;;;0.05230715125799179;0.0203532874584198;-0.6951209306716919;-0.166192889213562;-9.807136535644531;0.24506165087223053;0.0016694843070581555;-5.681015318259597E-4;-1.4971650671213865E-4;0.012416839599609375;-0.10888504981994629;35.17917251586914;27.08290672302246;24.092485427856445;1651584420345112;1651584420344177;152555793;152555993;1;1;-0.04595237970352173;-0.5230715274810791;0.005347084254026413;;0.0;-0.0012599807232618332;;;;;26.404285430908203;;26.51047134399414;;;;;;;;;1.0;0.5019607843137255;0.0;;
2;0;1651584420347176;0.0;;;0.05224444717168808;-0.012747637927532196;-0.6904393434524536;-0.1681971549987793;-9.813592910766602;0.23686553537845612;0.0016334009123966098;-0.0014822820667177439;0.0010453204158693552;0.008754730224609375;-0.10497630387544632;35.17917251586914;27.083030700683594;24.092485427856445;1651584420347176;1651584420346260;152557874;152558075;2;2;-0.04476190358400345;-0.522444486618042;0.005311071872711182;;0.0;-0.01675800234079361;;;;;26.404285430908203;;26.51047706604004;;;;;;;;;1.0;0.5019607843137255;0.0;;
3;0;1651584420349100;0.0;;;0.05222170427441597;-0.014920206740498543;-0.6920844912528992;-0.15988370776176453;-9.815433502197266;0.23890568315982819;5.678485031239688E-4;-0.0015843516448512673;-1.2667907867580652E-5;0.012416839599609375;-0.10497630387544632;35.182167053222656;27.083030700683594;24.092485427856445;1651584420349100;1651584420348348;152559855;152560055;3;3;-0.044285714626312256;-0.5222170352935791;0.005323726683855057;;0.0;0.0014859866350889206;;;;;26.404285430908203;;26.51047706604004;;;;;;;;;1.0;0.5019607843137255;0.0;;
4;0;1651584420351399;0.0;;;0.05216928943991661;-0.0265604667365551;-0.6735909581184387;-0.15603479743003845;-9.825658798217773;0.23119910061359406;6.059402949176729E-4;-5.30076737049967E-4;-1.5274125325959176E-4;0.012416839599609375;-0.10441791266202927;35.182167053222656;27.08304214477539;24.092485427856445;1651584420351399;1651584420350454;152562038;152562288;4;4;-0.04333333298563957;-0.5216928720474243;0.005181469023227692;;0.0;-0.04192900285124779;;;;;26.404285430908203;;26.510482788085938;;;;;;;;;1.0;0.5019607843137255;0.0;;
5;0;1651584420353257;0.0;;;0.05232986435294151;0.042093560099601746;-0.7023566961288452;-0.15971294045448303;-9.828140258789062;0.22972412407398224;5.617629503831267E-4;-0.0015792642952874303;-4.669651389122009E-6;0.008754730224609375;-0.10504346340894699;35.173179626464844;27.08304214477539;24.107900619506836;1651584420353257;1651584420352528;152563939;152564168;5;5;-0.04642857238650322;-0.5232986211776733;0.005402743816375732;;0.0;0.05309979245066643;;;;;26.404285430908203;;26.510482788085938;;;;;;;;;1.0;0.5019607843137255;0.0;;
6;0;1651584420355349;0.0;;;0.05231349170207977;0.014447912573814392;-0.6872134804725647;-0.16255947947502136;-9.825180053710938;0.21484507620334625;-5.01781003549695E-4;-0.0015412394423037767;-7.694397936575115E-6;0.012416839599609375;-0.10944338142871857;35.173179626464844;27.08304214477539;24.092485427856445;1651584420355349;1651584420354639;152566060;152566259;6;6;-0.04619047790765762;-0.5231349468231201;0.005286257714033127;;0.0;-0.011911014094948769;;;;;26.404285430908203;;26.510482788085938;;;;;;;;;1.0;0.5019607843137255;0.0;;
7;0;1651584420357368;0.0;;;0.052184171974658966;-0.03756091743707657;-0.6871215105056763;-0.16379526257514954;-9.82608699798584;0.2167791873216629;-5.01781003549695E-4;-0.0015412394423037767;-7.694397936575115E-6;0.012416839599609375;-0.10274270921945572;35.194149017333984;27.08318328857422;24.092485427856445;1651584420357368;1651584420356712;152568095;152568295;7;7;-0.04357142746448517;-0.5218417048454285;0.005285549908876419;;0.0;2.1785497665405273E-4;;;;;26.404285430908203;;26.510488510131836;;;;;;;;;1.0;0.5019607843137255;0.0;;
8;0;1651584420359514;0.0;;;0.05228644609451294;0.019249141216278076;-0.6936773061752319;-0.16977915167808533;-9.825125694274902;0.2269277721643448;-5.01781003549695E-4;-0.0015412394423037767;-7.694397936575115E-6;0.008754730224609375;-0.1044846698641777;35.194149017333984;27.08318328857422;24.107900619506836;1651584420359514;1651584420358794;152570185;152570439;8;8;-0.04571428522467613;-0.5228644609451294;0.005335979163646698;;0.0;0.01891930028796196;;;;;26.404285430908203;;26.510488510131836;;;;;;;;;1.0;0.5019607843137255;0.0;;
9;0;1651584420361856;0.0;;;0.05225203558802605;2.690218389034271E-4;-0.6891811490058899;-0.1710352599620819;-9.826546669006348;0.2295341044664383;-4.63689211755991E-4;-4.8696468002162874E-4;-1.4776774332858622E-4;0.012416839599609375;-0.10671964287757874;35.194149017333984;27.083271026611328;24.107900619506836;1651584420361856;1651584420360872;152572283;152572494;9;9;-0.04500000178813934;-0.5225203633308411;0.005301393568515778;;0.0;-0.004344219341874123;;;;;26.404285430908203;;26.510494232177734;;;;;;;;;1.0;0.5019607843137255;0.0;;
10;0;1651584420363826;0.0;;;0.05226204916834831;0.003525730222463608;-0.6860787868499756;-0.17097216844558716;-9.825751304626465;0.21735216677188873;5.937517853453755E-4;-5.22201822604984E-4;-1.3760055298916996E-4;0.008754730224609375;-0.1044178158044815;35.194149017333984;27.083271026611328;24.092485427856445;1651584420363826;1651584420362957;152574375;152574669;10;10;-0.04523809626698494;-0.5226204991340637;0.005277529358863831;;0.0;-0.008057491853833199;;;;;26.404285430908203;;26.510494232177734;;;;;;;;;1.0;0.5019607843137255;0.0;;
