sequence;id;time;positionCmd;velocityCmd;effortCmd;position;velocity;effort;accelX;accelY;accelZ;gyroX;gyroY;gyroZ;motorCurrent;windingCurrent;ambientTemperature;windingTemperature;voltage;pcRxTime;pcTxTime;hwRxTime;hwTxTime;sequence;rxSequence;pwmCmd;innerEffortCmd;deflection;motorPosition;motorVelocity;deflectionVelocity;orientationW;orientationX;orientationY;orientationZ;motorTemperature;processorTemperature;actuatorTemperature;pressure;resetButtonState;mStopState;commandLockState;temperatureState;positionLimitState;velocityLimitState;effortLimitState;ledR;ledG;ledB;ledA;
0;0;1651584163884082;-1.5700000524520874;;;-1.5679644346237183;0.002780899405479431;-0.026252269744873047;-0.17069512605667114;-9.797133445739746;0.2691017985343933;0.0011730955448001623;-1.880026247818023E-4;-5.934995715506375E-4;0.001430511474609375;0.020701495930552483;35.76322937011719;26.406429290771484;24.077072143554688;1651584163884082;1651584163882803;418242301;418242568;0;0;0.006666666828095913;-0.020356178283691406;2.0194053649902344E-4;;0.0;-0.008922357112169266;;;;;26.336833953857422;;26.383251190185547;;;;;;;;;0.0;0.5176470588235295;0.0;;
1;0;1651584163885603;-1.5700000524520874;;;-1.5680190324783325;-0.019175603985786438;-0.011793375015258789;-0.16463559865951538;-9.794624328613281;0.27600258588790894;1.12619498395361E-4;-8.105198503471911E-6;4.5900154509581625E-4;0.001430511474609375;0.014546996913850307;35.751251220703125;26.406429290771484;24.077072143554688;1651584163885603;1651584163884905;418244132;418244332;1;1;-0.0014285714132711291;-0.019810199737548828;9.071826934814453E-5;;0.0;-0.049360744655132294;;;;;26.336833953857422;;26.383251190185547;;;;;;;;;0.0;0.5215686274509804;0.0;;
2;0;1651584163887703;-1.5700000524520874;;;-1.5679844617843628;-2.466142177581787E-4;-0.03646492958068848;-0.17697450518608093;-9.80506420135498;0.27137452363967896;1.12619498395361E-4;-8.105198503471911E-6;4.5900154509581625E-4;-0.002231597900390625;-0.010630498640239239;35.75424575805664;26.406429290771484;24.077072143554688;1651584163887703;1651584163886999;418246218;418246418;2;2;0.004999999888241291;-0.020155906677246094;2.804994583129883E-4;;0.0;0.0463993102312088;;;;;26.336833953857422;;26.383251190185547;;;;;;;;;0.0;0.5215686274509804;0.0;;
3;0;1651584163890033;-1.5700000524520874;;;-1.5679410696029663;0.013235773891210556;-0.0475764274597168;-0.17684701085090637;-9.800681114196777;0.281660795211792;1.5071133384481072E-4;0.0010461697820574045;3.1892815604805946E-4;0.001430511474609375;0.038605500012636185;35.757240295410156;26.406381607055664;24.077072143554688;1651584163890033;1651584163889087;418248292;418248492;3;3;0.020952381193637848;-0.020589828491210938;3.6597251892089844E-4;;0.0;0.05301934853196144;;;;;26.336833953857422;;26.383237838745117;;;;;;;;;0.0;0.5254901960784314;0.0;;
4;0;1651584163894348;-1.5700000524520874;;;-1.5679126977920532;0.020973727107048035;-0.02121567726135254;-0.17781281471252441;-9.8109769821167;0.2812182903289795;1.106110867112875E-4;-1.4820040087215602E-4;-5.959693808108568E-4;0.001430511474609375;-0.016785001382231712;35.74226379394531;26.406328201293945;24.077072143554688;1651584163894348;1651584163893623;418252861;418253061;4;4;-0.004047619178891182;-0.020873546600341797;1.6319751739501953E-4;;0.0;0.0015123412013053894;;;;;26.336833953857422;;26.383224487304688;;;;;;;;;0.0;0.5294117647058824;0.0;;
5;0;1651584163896474;-1.5700000524520874;;;-1.5678935050964355;0.015645146369934082;-0.03105640411376953;-0.16455507278442383;-9.810016632080078;0.264762818813324;-9.910373482853174E-4;-0.001162512693554163;-4.5731785940006375E-4;-0.002231597900390625;-0.003916500601917505;35.74226379394531;26.406328201293945;24.077072143554688;1651584163896474;1651584163895765;418254974;418255174;5;5;0.0033333334140479565;-0.021065473556518555;2.3889541625976562E-4;;0.0;0.03888818621635437;;;;;26.336833953857422;;26.383224487304688;;;;;;;;;0.0;0.5333333333333333;0.0;;
6;0;1651584163898595;-1.5700000524520874;;;-1.5678794384002686;0.007847685366868973;-0.024067163467407227;-0.16679885983467102;-9.805858612060547;0.2636110782623291;-9.529455564916134E-4;-1.0823806223925203E-4;-5.973912193439901E-4;-0.002231597900390625;0.00783300120383501;35.745262145996094;26.406269073486328;24.077072143554688;1651584163898595;1651584163897838;418257055;418257255;6;6;0.0023809524718672037;-0.021206140518188477;1.8513202667236328E-4;;0.0;0.0021209213882684708;;;;;26.336833953857422;;26.383211135864258;;;;;;;;;0.0;0.5333333333333333;0.0;;
7;0;1651584163899565;-1.5700000524520874;;;-1.56788969039917;-5.941968411207199E-4;-0.015869140625;-0.16998931765556335;-9.811561584472656;0.2607516646385193;1.1059845564886928E-4;-1.4626281335949898E-4;-5.943664582446218E-4;-0.002231597900390625;0.005595002323389053;35.745262145996094;26.406269073486328;24.077072143554688;1651584163899565;1651584163898906;418258078;418258279;7;7;-0.0019047618843615055;-0.021103620529174805;1.220703125E-4;;0.0;-0.025123847648501396;;;;;26.336833953857422;;26.383211135864258;;;;;;;;;0.0;0.5333333333333333;0.0;;
8;0;1651584163901681;-1.5700000524520874;;;-1.5678895711898804;0.0024226047098636627;-0.03547310829162598;-0.17490321397781372;-9.814949035644531;0.2612108588218689;1.4869027654640377E-4;9.08012269064784E-4;-7.344398181885481E-4;-0.002231597900390625;-0.013428005389869213;35.74825668334961;26.406269073486328;24.077072143554688;1651584163901681;1651584163900977;418260174;418260374;8;8;0.0035714285913854837;-0.021104812622070312;2.728700637817383E-4;;0.0;0.04525871202349663;;;;;26.336833953857422;;26.383211135864258;;;;;;;;;0.0;0.5372549019607843;0.0;;
9;0;1651584163904026;-1.5700000524520874;;;-1.5679104328155518;5.2696093916893E-4;-0.02290487289428711;-0.17142298817634583;-9.801653861999512;0.2576271891593933;-9.148537064902484E-4;9.460370056331158E-4;-7.374645792879164E-4;-0.002231597900390625;0.0;35.733280181884766;26.406200408935547;24.077072143554688;1651584163904026;1651584163903066;418262284;418262547;9;9;2.380952355451882E-4;-0.020896196365356445;1.761913299560547E-4;;0.0;0.0018736752681434155;;;;;26.336833953857422;;26.383197784423828;;;;;;;;;0.0;0.5372549019607843;0.0;;
